candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
559,fe-candidate-0559-danny-crichton,Danny Crichton,,tech writer,,,,,https://en.wikipedia.org/wiki/Danny_Crichton,unresearched,unverified_candidate,Curated: tech writer
560,fe-candidate-0560-michael-l.-kazar,Michael L. Kazar,,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_L._Kazar,unresearched,unverified_candidate,Wikipedia category: American software engineers
561,fe-candidate-0561-ben-black,Ben Black,,tech engineer,,,,,https://en.wikipedia.org/wiki/Ben_Black,unresearched,unverified_candidate,Curated: tech engineer
562,fe-candidate-0562-james-p.-anderson-jr.,James P. Anderson Jr.,,American computer scientists,,,,,https://en.wikipedia.org/wiki/James_P._Anderson_Jr.,unresearched,unverified_candidate,Wikipedia category: American computer scientists
563,fe-candidate-0563-timothy-canham,Timothy Canham,,American software engineers,,,,,https://en.wikipedia.org/wiki/Timothy_Canham,unresearched,unverified_candidate,Wikipedia category: American software engineers
564,fe-candidate-0564-mikhail-atallah,Mikhail Atallah,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Mikhail_Atallah,unresearched,unverified_candidate,Wikipedia category: American computer scientists
565,fe-candidate-0565-allan-alcorn,Allan Alcorn,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Allan_Alcorn,unresearched,unverified_candidate,Wikipedia category: American computer scientists
566,fe-candidate-0566-kirsty-nathoo,Kirsty Nathoo,,YC partner,,,,,https://en.wikipedia.org/wiki/Kirsty_Nathoo,unresearched,unverified_candidate,Curated: YC partner
567,fe-candidate-0567-jessica-jackley,Jessica Jackley,1977,Kiva founder,,,,,https://en.wikipedia.org/wiki/Jessica_Jackley,unresearched,unverified_candidate,Curated: Kiva founder
568,fe-candidate-0568-kelly-blincoe,Kelly Blincoe,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Kelly_Blincoe,unresearched,unverified_candidate,Wikipedia category: American computer scientists
569,fe-candidate-0569-filipe-de-avila-belbute-peres,Filipe de Avila Belbute Peres,,AI researcher,,,,,https://en.wikipedia.org/wiki/Filipe_de_Avila_Belbute_Peres,unresearched,unverified_candidate,Curated: AI researcher
570,fe-candidate-0570-murat-bazarov,Murat Bazarov,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Murat_Bazarov,unresearched,unverified_candidate,Wikipedia category: American technology company founders
571,fe-candidate-0571-matt-corallo,Matt Corallo,1988,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Matt_Corallo,unresearched,unverified_candidate,Curated: Bitcoin contributor
572,fe-candidate-0572-jim-brown-(computer-scientist),Jim Brown (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jim_Brown_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
573,fe-candidate-0573-guido-van-rossum,Guido van Rossum,1956,Python creator,,,,,https://en.wikipedia.org/wiki/Guido_van_Rossum,unresearched,unverified_candidate,Curated: Python creator
574,fe-candidate-0574-john-gibbs-(government-official),John Gibbs (government official),,American software engineers,,,,,https://en.wikipedia.org/wiki/John_Gibbs_(government_official),unresearched,unverified_candidate,Wikipedia category: American software engineers
575,fe-candidate-0575-yelp-founder,Yelp founder,,tech founder,,,,,https://en.wikipedia.org/wiki/Yelp_founder,unresearched,unverified_candidate,Curated: tech founder
576,fe-candidate-0576-mihaela-cardei,Mihaela Cardei,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Mihaela_Cardei,unresearched,unverified_candidate,Wikipedia category: American computer scientists
577,fe-candidate-0577-alex-smola,Alex Smola,1970,MXNet creator,,,,,https://en.wikipedia.org/wiki/Alex_Smola,unresearched,unverified_candidate,Curated: MXNet creator
578,fe-candidate-0578-dalton-caldwell,Dalton Caldwell,1978,YC partner,,,,,https://en.wikipedia.org/wiki/Dalton_Caldwell,unresearched,unverified_candidate,Curated: YC partner
579,fe-candidate-0579-gagan-biyani,Gagan Biyani,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Gagan_Biyani,unresearched,unverified_candidate,Wikipedia category: American technology company founders
580,fe-candidate-0580-sam-bankman-fried,Sam Bankman-Fried,1992,FTX founder,,,,,https://en.wikipedia.org/wiki/Sam_Bankman-Fried,unresearched,unverified_candidate,Curated: FTX founder
581,fe-candidate-0581-zbigniew-jędrzejewski-szmek,Zbigniew Jędrzejewski-Szmek,,systemd contributor,,,,,https://en.wikipedia.org/wiki/Zbigniew_Jędrzejewski-Szmek,unresearched,unverified_candidate,Curated: systemd contributor
582,fe-candidate-0582-luke-dashjr,Luke Dashjr,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Luke_Dashjr,unresearched,unverified_candidate,Curated: Bitcoin contributor
583,fe-candidate-0583-todd-hollenshead,Todd Hollenshead,,id Software CEO,,,,,https://en.wikipedia.org/wiki/Todd_Hollenshead,unresearched,unverified_candidate,Curated: id Software CEO
584,fe-candidate-0584-soumith-chintala,Soumith Chintala,1988,PyTorch contributor,,,,,https://en.wikipedia.org/wiki/Soumith_Chintala,unresearched,unverified_candidate,Curated: PyTorch contributor
585,fe-candidate-0585-lars-klawitter,Lars Klawitter,,tech founder,,,,,https://en.wikipedia.org/wiki/Lars_Klawitter,unresearched,unverified_candidate,Curated: tech founder
586,fe-candidate-0586-kelly-thornton,Kelly Thornton,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Kelly_Thornton,unresearched,unverified_candidate,Curated: Valve engineer
587,fe-candidate-0587-jb-straubel,JB Straubel,1975,Tesla founder,,,,,https://en.wikipedia.org/wiki/JB_Straubel,unresearched,unverified_candidate,Curated: Tesla founder
588,fe-candidate-0588-chelsea-voss,Chelsea Voss,,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Chelsea_Voss,unresearched,unverified_candidate,Curated: OpenAI researcher
589,fe-candidate-0589-dave-thomas,Dave Thomas,,Pragmatic Programmer,,,,,https://en.wikipedia.org/wiki/Dave_Thomas,unresearched,unverified_candidate,Curated: Pragmatic Programmer
590,fe-candidate-0590-mike-engelhardt,Mike Engelhardt,,American software engineers,,,,,https://en.wikipedia.org/wiki/Mike_Engelhardt,unresearched,unverified_candidate,Wikipedia category: American software engineers
591,fe-candidate-0591-alan-cooper-(software-designer),Alan Cooper (software designer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Alan_Cooper_(software_designer),unresearched,unverified_candidate,Wikipedia category: American software engineers
592,fe-candidate-0592-mary-blue,Mary Blue,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Mary_Blue,unresearched,unverified_candidate,Wikipedia category: American computer scientists
593,fe-candidate-0593-ray-ozzie,Ray Ozzie,1955,Microsoft CTO,,,,,https://en.wikipedia.org/wiki/Ray_Ozzie,unresearched,unverified_candidate,Curated: Microsoft CTO
594,fe-candidate-0594-charles-best,Charles Best,1976,DonorsChoose founder,,,,,https://en.wikipedia.org/wiki/Charles_Best,unresearched,unverified_candidate,Curated: DonorsChoose founder
595,fe-candidate-0595-sebastian-ruder,Sebastian Ruder,,AI researcher,,,,,https://en.wikipedia.org/wiki/Sebastian_Ruder,unresearched,unverified_candidate,Curated: AI researcher
596,fe-candidate-0596-garry-tan,Garry Tan,1981,YC president,,,,,https://en.wikipedia.org/wiki/Garry_Tan,unresearched,unverified_candidate,Curated: YC president
597,fe-candidate-0597-james-allchin,James Allchin,1951,Microsoft VP,,,,,https://en.wikipedia.org/wiki/James_Allchin,unresearched,unverified_candidate,Curated: Microsoft VP
598,fe-candidate-0598-illia-polosukhin,Illia Polosukhin,1985,AI researcher,,,,,https://en.wikipedia.org/wiki/Illia_Polosukhin,unresearched,unverified_candidate,Curated: AI researcher
599,fe-candidate-0599-ruth-misener,Ruth Misener,,American software engineers,,,,,https://en.wikipedia.org/wiki/Ruth_Misener,unresearched,unverified_candidate,Wikipedia category: American software engineers
600,fe-candidate-0600-valeria-bertacco,Valeria Bertacco,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Valeria_Bertacco,unresearched,unverified_candidate,Wikipedia category: American computer scientists
601,fe-candidate-0601-joe-becker-(unicode),Joe Becker (Unicode),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Joe_Becker_(Unicode),unresearched,unverified_candidate,Wikipedia category: American computer scientists
602,fe-candidate-0602-phil-bernstein,Phil Bernstein,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Phil_Bernstein,unresearched,unverified_candidate,Wikipedia category: American computer scientists
603,fe-candidate-0603-nick-quaranto,Nick Quaranto,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Nick_Quaranto,unresearched,unverified_candidate,Curated: GitHub engineer
604,fe-candidate-0604-larry-constantine,Larry Constantine,,American software engineers,,,,,https://en.wikipedia.org/wiki/Larry_Constantine,unresearched,unverified_candidate,Wikipedia category: American software engineers
605,fe-candidate-0605-sean-griffin,Sean Griffin,,Rails contributor,,,,,https://en.wikipedia.org/wiki/Sean_Griffin,unresearched,unverified_candidate,Curated: Rails contributor
606,fe-candidate-0606-jon-gosier,Jon Gosier,,American software engineers,,,,,https://en.wikipedia.org/wiki/Jon_Gosier,unresearched,unverified_candidate,Wikipedia category: American software engineers
607,fe-candidate-0607-philip-agre,Philip Agre,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Philip_Agre,unresearched,unverified_candidate,Wikipedia category: American computer scientists
608,fe-candidate-0608-tim-ruffing,Tim Ruffing,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Tim_Ruffing,unresearched,unverified_candidate,Curated: Bitcoin contributor
609,fe-candidate-0609-rick-krajewski,Rick Krajewski,,American software engineers,,,,,https://en.wikipedia.org/wiki/Rick_Krajewski,unresearched,unverified_candidate,Wikipedia category: American software engineers
610,fe-candidate-0610-aram-moghaddassi,Aram Moghaddassi,,American software engineers,,,,,https://en.wikipedia.org/wiki/Aram_Moghaddassi,unresearched,unverified_candidate,Wikipedia category: American software engineers
611,fe-candidate-0611-sebastian-thorarensen,Sebastian Thorarensen,,tech engineer,,,,,https://en.wikipedia.org/wiki/Sebastian_Thorarensen,unresearched,unverified_candidate,Curated: tech engineer
612,fe-candidate-0612-martin-eberhard,Martin Eberhard,1960,Tesla founder,,,,,https://en.wikipedia.org/wiki/Martin_Eberhard,unresearched,unverified_candidate,Curated: Tesla founder
613,fe-candidate-0613-dave-morin,Dave Morin,1980,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Dave_Morin,unresearched,unverified_candidate,Curated: Facebook engineer
614,fe-candidate-0614-dmitri-alperovitch,Dmitri Alperovitch,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Dmitri_Alperovitch,unresearched,unverified_candidate,Wikipedia category: American technology company founders
615,fe-candidate-0615-andrew-ng,Andrew Ng,1976,AI researcher,,,,,https://en.wikipedia.org/wiki/Andrew_Ng,unresearched,unverified_candidate,Curated: AI researcher
616,fe-candidate-0616-jesse-newland,Jesse Newland,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Jesse_Newland,unresearched,unverified_candidate,Curated: GitHub engineer
617,fe-candidate-0617-derek-mcgowan,Derek McGowan,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Derek_McGowan,unresearched,unverified_candidate,Curated: Docker engineer
618,fe-candidate-0618-werner-buchholz,Werner Buchholz,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Werner_Buchholz,unresearched,unverified_candidate,Wikipedia category: American computer scientists
619,fe-candidate-0619-reed-hastings,Reed Hastings,1960,Netflix founder,,,,,https://en.wikipedia.org/wiki/Reed_Hastings,unresearched,unverified_candidate,Curated: Netflix founder
620,fe-candidate-0620-heather-baldry,Heather Baldry,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Heather_Baldry,unresearched,unverified_candidate,Curated: GitHub engineer
621,fe-candidate-0621-ian-goodfellow,Ian Goodfellow,1985,AI researcher,,,,,https://en.wikipedia.org/wiki/Ian_Goodfellow,unresearched,unverified_candidate,Curated: AI researcher
622,fe-candidate-0622-rachel-binx,Rachel Binx,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rachel_Binx,unresearched,unverified_candidate,Wikipedia category: American computer scientists
623,fe-candidate-0623-brian-armstrong-(businessman),Brian Armstrong (businessman),,American software engineers,,,,,https://en.wikipedia.org/wiki/Brian_Armstrong_(businessman),unresearched,unverified_candidate,Wikipedia category: American software engineers
624,fe-candidate-0624-hamid-arabnia,Hamid Arabnia,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Hamid_Arabnia,unresearched,unverified_candidate,Wikipedia category: American computer scientists
625,fe-candidate-0625-robert-l.-glass,Robert L. Glass,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_L._Glass,unresearched,unverified_candidate,Wikipedia category: American software engineers
626,fe-candidate-0626-romain-dillet,Romain Dillet,,tech writer,,,,,https://en.wikipedia.org/wiki/Romain_Dillet,unresearched,unverified_candidate,Curated: tech writer
627,fe-candidate-0627-arthur-schreiber,Arthur Schreiber,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Arthur_Schreiber,unresearched,unverified_candidate,Curated: GitHub engineer
628,fe-candidate-0628-the-register-writer,The Register writer,,tech writer,,,,,https://en.wikipedia.org/wiki/The_Register_writer,unresearched,unverified_candidate,Curated: tech writer
629,fe-candidate-0629-michael-baum-(entrepreneur),Michael Baum (entrepreneur),,American software engineers,,,,,https://en.wikipedia.org/wiki/Michael_Baum_(entrepreneur),unresearched,unverified_candidate,Wikipedia category: American software engineers
630,fe-candidate-0630-brian-bershad,Brian Bershad,,Google engineer,,,,,https://en.wikipedia.org/wiki/Brian_Bershad,unresearched,unverified_candidate,Curated: Google engineer
631,fe-candidate-0631-naomi-gleit,Naomi Gleit,,Facebook VP,,,,,https://en.wikipedia.org/wiki/Naomi_Gleit,unresearched,unverified_candidate,Curated: Facebook VP
632,fe-candidate-0632-slava-akhmechet,Slava Akhmechet,,RethinkDB founder,,,,,https://en.wikipedia.org/wiki/Slava_Akhmechet,unresearched,unverified_candidate,Curated: RethinkDB founder
633,fe-candidate-0633-joe-celko,Joe Celko,,American software engineers,,,,,https://en.wikipedia.org/wiki/Joe_Celko,unresearched,unverified_candidate,Wikipedia category: American software engineers
634,fe-candidate-0634-chad-hurley,Chad Hurley,1977,YouTube founder,,,,,https://en.wikipedia.org/wiki/Chad_Hurley,unresearched,unverified_candidate,Curated: YouTube founder
635,fe-candidate-0635-nicolai-josuttis,Nicolai Josuttis,1958,C++ author,,,,,https://en.wikipedia.org/wiki/Nicolai_Josuttis,unresearched,unverified_candidate,Curated: C++ author
636,fe-candidate-0636-bob-belleville,Bob Belleville,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Bob_Belleville,unresearched,unverified_candidate,Wikipedia category: American computer scientists
637,fe-candidate-0637-john-resig,John Resig,1984,jQuery creator,,,,,https://en.wikipedia.org/wiki/John_Resig,unresearched,unverified_candidate,Curated: jQuery creator
638,fe-candidate-0638-paul-sciarra,Paul Sciarra,1982,Pinterest founder,,,,,https://en.wikipedia.org/wiki/Paul_Sciarra,unresearched,unverified_candidate,Curated: Pinterest founder
639,fe-candidate-0639-tom-demarco,Tom DeMarco,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tom_DeMarco,unresearched,unverified_candidate,Wikipedia category: American software engineers
640,fe-candidate-0640-bruce-artwick,Bruce Artwick,,American software engineers,,,,,https://en.wikipedia.org/wiki/Bruce_Artwick,unresearched,unverified_candidate,Wikipedia category: American software engineers
641,fe-candidate-0641-ginni-rometty,Ginni Rometty,1957,IBM CEO,,,,,https://en.wikipedia.org/wiki/Ginni_Rometty,unresearched,unverified_candidate,Curated: IBM CEO
642,fe-candidate-0642-vincent-aleven,Vincent Aleven,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Vincent_Aleven,unresearched,unverified_candidate,Wikipedia category: American computer scientists
643,fe-candidate-0643-edward-yang,Edward Yang,,PyTorch contributor,,,,,https://en.wikipedia.org/wiki/Edward_Yang,unresearched,unverified_candidate,Curated: PyTorch contributor
644,fe-candidate-0644-hal-finney,Hal Finney,1956,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Hal_Finney,unresearched,unverified_candidate,Curated: Bitcoin contributor
645,fe-candidate-0645-lennart-augustsson,Lennart Augustsson,,Haskell researcher,,,,,https://en.wikipedia.org/wiki/Lennart_Augustsson,unresearched,unverified_candidate,Curated: Haskell researcher
646,fe-candidate-0646-adrian-cockcroft,Adrian Cockcroft,1957,Netflix engineer,,,,,https://en.wikipedia.org/wiki/Adrian_Cockcroft,unresearched,unverified_candidate,Curated: Netflix engineer
647,fe-candidate-0647-boris-schaling,Boris Schaling,,C++ author,,,,,https://en.wikipedia.org/wiki/Boris_Schaling,unresearched,unverified_candidate,Curated: C++ author
648,fe-candidate-0648-matthew-wilson,Matthew Wilson,,C++ author,,,,,https://en.wikipedia.org/wiki/Matthew_Wilson,unresearched,unverified_candidate,Curated: C++ author
649,fe-candidate-0649-jared-kaplan,Jared Kaplan,,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Jared_Kaplan,unresearched,unverified_candidate,Curated: Anthropic founder
650,fe-candidate-0650-gen-fukunaga,Gen Fukunaga,,American software engineers,,,,,https://en.wikipedia.org/wiki/Gen_Fukunaga,unresearched,unverified_candidate,Wikipedia category: American software engineers
651,fe-candidate-0651-robert-c-martin,Robert C Martin,1952,Clean Code author,,,,,https://en.wikipedia.org/wiki/Robert_C_Martin,unresearched,unverified_candidate,Curated: Clean Code author
652,fe-candidate-0652-bret-taylor,Bret Taylor,1980,Facebook CTO,,,,,https://en.wikipedia.org/wiki/Bret_Taylor,unresearched,unverified_candidate,Curated: Facebook CTO
653,fe-candidate-0653-mike-belshe,Mike Belshe,1972,HTTP/2 author,,,,,https://en.wikipedia.org/wiki/Mike_Belshe,unresearched,unverified_candidate,Curated: HTTP/2 author
654,fe-candidate-0654-gokul-rajaram,Gokul Rajaram,,Facebook director,,,,,https://en.wikipedia.org/wiki/Gokul_Rajaram,unresearched,unverified_candidate,Curated: Facebook director
655,fe-candidate-0655-cristiano-betta,Cristiano Betta,,tech engineer,,,,,https://en.wikipedia.org/wiki/Cristiano_Betta,unresearched,unverified_candidate,Curated: tech engineer
656,fe-candidate-0656-paul-mckenney,Paul McKenney,1948,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Paul_McKenney,unresearched,unverified_candidate,Curated: Linux kernel maintainer
657,fe-candidate-0657-peter-fitzhugh-brown,Peter Fitzhugh Brown,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Peter_Fitzhugh_Brown,unresearched,unverified_candidate,Wikipedia category: American computer scientists
658,fe-candidate-0658-pedro-franceschi,Pedro Franceschi,1996,YC founder,,,,,https://en.wikipedia.org/wiki/Pedro_Franceschi,unresearched,unverified_candidate,Curated: YC founder
659,fe-candidate-0659-peter-j.-denning,Peter J. Denning,,American software engineers,,,,,https://en.wikipedia.org/wiki/Peter_J._Denning,unresearched,unverified_candidate,Wikipedia category: American software engineers
660,fe-candidate-0660-daniel-abadi,Daniel Abadi,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Daniel_Abadi,unresearched,unverified_candidate,Wikipedia category: American computer scientists
661,fe-candidate-0661-kay-sievers,Kay Sievers,1980,systemd contributor,,,,,https://en.wikipedia.org/wiki/Kay_Sievers,unresearched,unverified_candidate,Curated: systemd contributor
662,fe-candidate-0662-cameron-mcefee,Cameron McEfee,,GitHub engineer,,,,,https://en.wikipedia.org/wiki/Cameron_McEfee,unresearched,unverified_candidate,Curated: GitHub engineer
663,fe-candidate-0663-randal-bryant,Randal Bryant,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Randal_Bryant,unresearched,unverified_candidate,Wikipedia category: American computer scientists
664,fe-candidate-0664-david-baron-(computer-scientist),David Baron (computer scientist),,American computer scientists,,,,,https://en.wikipedia.org/wiki/David_Baron_(computer_scientist),unresearched,unverified_candidate,Wikipedia category: American computer scientists
665,fe-candidate-0665-klaus-iglberger,Klaus Iglberger,,C++ author,,,,,https://en.wikipedia.org/wiki/Klaus_Iglberger,unresearched,unverified_candidate,Curated: C++ author
666,fe-candidate-0666-rohan-seth,Rohan Seth,1991,tech founder,,,,,https://en.wikipedia.org/wiki/Rohan_Seth,unresearched,unverified_candidate,Curated: tech founder
667,fe-candidate-0667-tim-lister,Tim Lister,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tim_Lister,unresearched,unverified_candidate,Wikipedia category: American software engineers
668,fe-candidate-0668-magdalena-bałazińska,Magdalena Bałazińska,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Magdalena_Bałazińska,unresearched,unverified_candidate,Wikipedia category: American computer scientists
669,fe-candidate-0669-cory-fields,Cory Fields,,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Cory_Fields,unresearched,unverified_candidate,Curated: Bitcoin contributor
670,fe-candidate-0670-elizabeth-bradley-(mathematician-and-rower),Elizabeth Bradley (mathematician and rower),,American computer scientists,,,,,https://en.wikipedia.org/wiki/Elizabeth_Bradley_(mathematician_and_rower),unresearched,unverified_candidate,Wikipedia category: American computer scientists
671,fe-candidate-0671-everett-l.-bull,Everett L. Bull,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Everett_L._Bull,unresearched,unverified_candidate,Wikipedia category: American computer scientists
672,fe-candidate-0672-safra-catz,Safra Catz,1961,Oracle CEO,,,,,https://en.wikipedia.org/wiki/Safra_Catz,unresearched,unverified_candidate,Curated: Oracle CEO
673,fe-candidate-0673-richard-r.-burton,Richard R. Burton,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Richard_R._Burton,unresearched,unverified_candidate,Wikipedia category: American computer scientists
674,fe-candidate-0674-meyer-epstein,Meyer Epstein,,tech engineer,,,,,https://en.wikipedia.org/wiki/Meyer_Epstein,unresearched,unverified_candidate,Curated: tech engineer
675,fe-candidate-0675-dennis-ritchie,Dennis Ritchie,1941,C creator,,,,,https://en.wikipedia.org/wiki/Dennis_Ritchie,unresearched,unverified_candidate,Curated: C creator
676,fe-candidate-0676-aaron-patterson,Aaron Patterson,1978,Rails/Ruby contributor,,,,,https://en.wikipedia.org/wiki/Aaron_Patterson,unresearched,unverified_candidate,Curated: Rails/Ruby contributor
677,fe-candidate-0677-brock-whitten,Brock Whitten,,PhoneGap founder,,,,,https://en.wikipedia.org/wiki/Brock_Whitten,unresearched,unverified_candidate,Curated: PhoneGap founder
678,fe-candidate-0678-sibel-adalı,Sibel Adalı,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Sibel_Adalı,unresearched,unverified_candidate,Wikipedia category: American computer scientists
679,fe-candidate-0679-jon-guenther,Jon Guenther,,American software engineers,,,,,https://en.wikipedia.org/wiki/Jon_Guenther,unresearched,unverified_candidate,Wikipedia category: American software engineers
680,fe-candidate-0680-sid-sijbrandij,Sid Sijbrandij,1979,YC founder,,,,,https://en.wikipedia.org/wiki/Sid_Sijbrandij,unresearched,unverified_candidate,Curated: YC founder
681,fe-candidate-0681-bjarne-stroustrup,Bjarne Stroustrup,1950,C++ creator,,,,,https://en.wikipedia.org/wiki/Bjarne_Stroustrup,unresearched,unverified_candidate,Curated: C++ creator
682,fe-candidate-0682-isaac-l.-auerbach,Isaac L. Auerbach,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Isaac_L._Auerbach,unresearched,unverified_candidate,Wikipedia category: American computer scientists
683,fe-candidate-0683-tom-hall,Tom Hall,1964,id Software founder,,,,,https://en.wikipedia.org/wiki/Tom_Hall,unresearched,unverified_candidate,Curated: id Software founder
684,fe-candidate-0684-jonathan-corbet,Jonathan Corbet,1969,LWN founder,,,,,https://en.wikipedia.org/wiki/Jonathan_Corbet,unresearched,unverified_candidate,Curated: LWN founder
685,fe-candidate-0685-susan-d.-allen,Susan D. Allen,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Susan_D._Allen,unresearched,unverified_candidate,Wikipedia category: American computer scientists
686,fe-candidate-0686-kang-xing-jin,Kang-Xing Jin,,Facebook engineer,,,,,https://en.wikipedia.org/wiki/Kang-Xing_Jin,unresearched,unverified_candidate,Curated: Facebook engineer
687,fe-candidate-0687-brett-harrison,Brett Harrison,,American software engineers,,,,,https://en.wikipedia.org/wiki/Brett_Harrison,unresearched,unverified_candidate,Wikipedia category: American software engineers
688,fe-candidate-0688-bob-braden,Bob Braden,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Bob_Braden,unresearched,unverified_candidate,Wikipedia category: American computer scientists
689,fe-candidate-0689-stephen-akridge,Stephen Akridge,,Solana engineer,,,,,https://en.wikipedia.org/wiki/Stephen_Akridge,unresearched,unverified_candidate,Curated: Solana engineer
690,fe-candidate-0690-meredith-broussard,Meredith Broussard,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Meredith_Broussard,unresearched,unverified_candidate,Wikipedia category: American computer scientists
691,fe-candidate-0691-robert-k.-brayton,Robert K. Brayton,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Robert_K._Brayton,unresearched,unverified_candidate,Wikipedia category: American computer scientists
692,fe-candidate-0692-j-allard,J Allard,,American technology company founders,,,,,https://en.wikipedia.org/wiki/J_Allard,unresearched,unverified_candidate,Wikipedia category: American technology company founders
693,fe-candidate-0693-fadi-chehadé,Fadi Chehadé,1962,tech executive,,,,,https://en.wikipedia.org/wiki/Fadi_Chehadé,unresearched,unverified_candidate,Curated: tech executive
694,"fe-candidate-0694-ken-""pinto-ron""-johnson","Ken ""Pinto Ron"" Johnson",,American software engineers,,,,,"https://en.wikipedia.org/wiki/Ken_""Pinto_Ron""_Johnson",unresearched,unverified_candidate,Wikipedia category: American software engineers
695,fe-candidate-0695-brianna-wu,Brianna Wu,1987,game developer,,,,,https://en.wikipedia.org/wiki/Brianna_Wu,unresearched,unverified_candidate,Curated: game developer
696,fe-candidate-0696-fil-maj,Fil Maj,,PhoneGap engineer,,,,,https://en.wikipedia.org/wiki/Fil_Maj,unresearched,unverified_candidate,Curated: PhoneGap engineer
697,fe-candidate-0697-patri-friedman,Patri Friedman,,American software engineers,,,,,https://en.wikipedia.org/wiki/Patri_Friedman,unresearched,unverified_candidate,Wikipedia category: American software engineers
698,fe-candidate-0698-dana-angluin,Dana Angluin,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Dana_Angluin,unresearched,unverified_candidate,Wikipedia category: American computer scientists
699,fe-candidate-0699-michael-pryor,Michael Pryor,1975,Trello founder,,,,,https://en.wikipedia.org/wiki/Michael_Pryor,unresearched,unverified_candidate,Curated: Trello founder
700,fe-candidate-0700-sindre-sorhus,Sindre Sorhus,1987,open source maintainer,,,,,https://en.wikipedia.org/wiki/Sindre_Sorhus,unresearched,unverified_candidate,Curated: open source maintainer
701,fe-candidate-0701-maya-ackerman,Maya Ackerman,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Maya_Ackerman,unresearched,unverified_candidate,Wikipedia category: American computer scientists
702,fe-candidate-0702-ian-wright,Ian Wright,,Tesla founder,,,,,https://en.wikipedia.org/wiki/Ian_Wright,unresearched,unverified_candidate,Curated: Tesla founder
703,fe-candidate-0703-kelsey-hightower,Kelsey Hightower,1981,Google/Cloud engineer,,,,,https://en.wikipedia.org/wiki/Kelsey_Hightower,unresearched,unverified_candidate,Curated: Google/Cloud engineer
704,fe-candidate-0704-evan-neumann,Evan Neumann,,American software engineers,,,,,https://en.wikipedia.org/wiki/Evan_Neumann,unresearched,unverified_candidate,Wikipedia category: American software engineers
705,fe-candidate-0705-robert-b.-grady,Robert B. Grady,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_B._Grady,unresearched,unverified_candidate,Wikipedia category: American software engineers
706,fe-candidate-0706-drew-hamlin,Drew Hamlin,,tech engineer,,,,,https://en.wikipedia.org/wiki/Drew_Hamlin,unresearched,unverified_candidate,Curated: tech engineer
